1292546884	20250305	202503	2025	2025.1781											GOV	CHIEF MINISTER						GOV			1	051	051	05	1	3.4	4	1	4	-4.46808510638298	0								4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	20260305120000	https://www.newindianexpress.com/nation/2026/Mar/05/coup-betrayal-of-peoples-mandate-opposition-parties-criticise-nitishs-rajya-sabha-entry
1292546885	20250305	202503	2025	2025.1781											GOV	GOVERNMENT						GOV			1	141	141	14	3	-6.5	10	1	10	-6.05427974947808	0								4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	20260305120000	https://www.indiablooms.com/world/nepal-votes-for-first-time-since-gen-z-uprising-turnout-hits-18-by-noon-spotlight-on-rapper-turned-politician-balendra-shah/details
1292546886	20250305	202503	2025	2025.1781	HLH	NURSE						HLH			GOV	AUDITOR GENERAL						GOV			0	012	012	01	1	-0.4	10	1	10	-0.70028011204481	0								0								0								20260305120000	https://www.cbc.ca/news/canada/prince-edward-island/pei-auditor-general-report-travel-nurses-spending-9.7114777
1292546887	20250305	202503	2025	2025.1781	IND	BIHAR	IND								INDGOV	BIHAR	IND					GOV			1	051	051	05	1	3.4	4	1	4	-4.46808510638298	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	17632	25.6	85.1167	-2107500	20260305120000	https://www.newindianexpress.com/nation/2026/Mar/05/coup-betrayal-of-peoples-mandate-opposition-parties-criticise-nitishs-rajya-sabha-entry
1292546888	20250305	202503	2025	2025.1781	NGA	KANO	NGA								LEG	CONGRESS						LEG			1	120	120	12	3	-4.0	8	1	8	-7.7720207253886	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	20260305120000	https://punchng.com/just-in-kano-assembly-moves-to-impeach-deputy-governor/
1292546889	20250305	202503	2025	2025.1781	NGA	KANO	NGA								LEG	CONGRESS						LEG			1	120	120	12	3	-4.0	2	1	2	-7.7720207253886	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	5	Kano State, Kano, Nigeria	NI	NI29	191066	11.5	8.5	-2014618	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	20260305120000	https://punchng.com/just-in-kano-assembly-moves-to-impeach-deputy-governor/
1292546890	20250305	202503	2025	2025.1781	USAGOV	OBAMA	USA					GOV			USA	CALIFORNIA	USA								0	051	051	05	1	3.4	10	1	10	0.59259259259259	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20260305120000	http://www.sitkasentinel.com/stories/obama-throws-his-support-behind-virginia-democrats-redistricting-plan-as-it-heads-to-voters,123244
1292546891	20260203	202602	2026	2026.0904	BGR	BULGARIA	BGR								MKD	MACEDONIA	MKD								1	057	057	05	1	8.0	2	1	2	3.03030303030303	4	Radomir, Stara Zagora, Bulgaria	BU	BU59	12051	42.3833	25.1667	-835248	4	Radomir, Stara Zagora, Bulgaria	BU	BU59	12051	42.3833	25.1667	-835248	4	Radomir, Stara Zagora, Bulgaria	BU	BU59	12051	42.3833	25.1667	-835248	20260305120000	https://www.gazetaexpress.com/en/bullgaria-pret-qe-lidhja-hekurudhore-me-maqedonine-te-perfundoje-deri-ne-vitin-2030/
1292546892	20260203	202602	2026	2026.0904	BGR	BULGARIA	BGR								MKD	MACEDONIA	MKD								1	057	057	05	1	8.0	8	1	8	3.03030303030303	4	Radomir, Stara Zagora, Bulgaria	BU	BU59	12051	42.3833	25.1667	-835248	1	Macedonia	MK	MK		41.833333	22	MK	4	Radomir, Stara Zagora, Bulgaria	BU	BU59	12051	42.3833	25.1667	-835248	20260305120000	https://www.gazetaexpress.com/en/bullgaria-pret-qe-lidhja-hekurudhore-me-maqedonine-te-perfundoje-deri-ne-vitin-2030/
1292546893	20260203	202602	2026	2026.0904	KEN	KENYA	KEN																		0	010	010	01	1	0.0	2	1	2	-2.63157894736842	4	Siaya, Nyanza, Kenya	KE	KE07	18585	0.061158	34.2882	29069	0								4	Siaya, Nyanza, Kenya	KE	KE07	18585	0.061158	34.2882	29069	20260305120000	https://www.capitalfm.co.ke/news/2026/03/orengo-claims-raila-may-have-been-forced-to-travel-to-india-before-death/
