1293028118	20250308	202503	2025	2025.1863											USA	UNITED STATES	USA								0	173	173	17	4	-5.0	1	1	1	-10.4918032786885	0								3	Pinedale, Wyoming, United States	US	USWY	WY035	42.8666	-109.861	1604444	3	Pinedale, Wyoming, United States	US	USWY	WY035	42.8666	-109.861	1604444	20260308000000	https://www.idahostatejournal.com/news/crimes_court/wyoming-man-accused-of-taking-wolf-he-hit-with-snowmobile-into-bar-changes-plea-to/article_aa8acd4d-cb32-5e6d-8941-03da63fb59a8.html
1293028119	20250308	202503	2025	2025.1863											USA	UNITED STATES	USA								0	173	173	17	4	-5.0	1	1	1	-10.4918032786885	0								3	Pinedale, Wyoming, United States	US	USWY	WY035	42.8666	-109.861	1604444	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	20260308000000	https://www.idahostatejournal.com/news/crimes_court/wyoming-man-accused-of-taking-wolf-he-hit-with-snowmobile-into-bar-changes-plea-to/article_aa8acd4d-cb32-5e6d-8941-03da63fb59a8.html
1293028120	20250308	202503	2025	2025.1863	KEN	KENYA	KEN																		1	160	160	16	4	-4.0	2	1	2	-2.47933884297521	4	Malindi, Coast, Kenya	KE	KE02	18585	-3.21748	40.1191	-2254842	0								4	Malindi, Coast, Kenya	KE	KE02	18585	-3.21748	40.1191	-2254842	20260308000000	https://eturbonews.com/more-liftings-kenya-travel-alerts/
1293028121	20250308	202503	2025	2025.1863	NZL	NEW ZEALAND	NZL																		1	018	018	01	1	3.4	4	1	4	-1.00231303006939	5	Auckland, Auckland, New Zealand	NZ	NZE7	22379	-36.75	174.583	11483124	0								5	Auckland, Auckland, New Zealand	NZ	NZE7	22379	-36.75	174.583	11483124	20260308000000	https://www.newstalkzb.co.nz/news/national/the-curious-case-of-david-lange-s-missing-grave-it-s-a-bit-of-a-mystery/
1293028122	20260206	202602	2026	2026.0986	JUD	SUPREME COURT						JUD			USA	WASHINGTON	USA								1	190	190	19	4	-10.0	4	1	4	-1.83333333333334	2	New York, United States	US	USNY		42.1497	-74.9384	NY	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20260308000000	http://www.shanghainews.net/news/278905095/judge-backs-refunds-for-companies-hit-by-invalid-trump-tariffs
1293028123	20260301	202603	2026	2026.1671	EDU	STUDENT						EDU			GBRGOV	BRITISH	GBR					GOV			1	042	042	04	1	1.9	6	1	6	7.03296703296703	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260308000000	https://www.dailyexcelsior.com/skills-minister-jayant-chaudhary-among-winners-of-india-uk-achievers-awards-in-uk/
1293028124	20260301	202603	2026	2026.1671	GBR	LONDON	GBR								GBRGOV	BRITISH	GBR					GOV			1	040	040	04	1	1.0	8	1	8	7.03296703296703	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260308000000	https://www.dailyexcelsior.com/skills-minister-jayant-chaudhary-among-winners-of-india-uk-achievers-awards-in-uk/
1293028125	20260301	202603	2026	2026.1671	GBRGOV	BRITISH	GBR					GOV			EDU	STUDENT						EDU			1	043	043	04	1	2.8	6	1	6	7.03296703296703	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260308000000	https://www.dailyexcelsior.com/skills-minister-jayant-chaudhary-among-winners-of-india-uk-achievers-awards-in-uk/
1293028126	20260301	202603	2026	2026.1671	GBRGOV	UNITED KINGDOM	GBR					GOV			GBR	BRITISH	GBR								1	040	040	04	1	1.0	2	1	2	7.03296703296703	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260308000000	https://www.dailyexcelsior.com/skills-minister-jayant-chaudhary-among-winners-of-india-uk-achievers-awards-in-uk/
1293028127	20260301	202603	2026	2026.1671	ISR	ISRAEL	ISR								IRN	IRAN	IRN								0	194	194	19	4	-10.0	8	1	8	-4.56511292647765	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Bushehr, Bushehr, Iran	IR	IR22	25307	28.9684	50.8385	-3057164	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20260308000000	http://harrisondaily.com/stories/the-latest-israel-hammers-beirut-and-tehran-as-iranian-president-apologizes-to-gulf-neighbors,365792
