1296376710	20250327	202503	2025	2025.2384											USA	UNITED STATES	USA								1	017	017	01	1	0.0	2	1	2	1.37931034482758	0								3	Baltimore County, Maryland, United States	US	USMD		39.4668	-76.6497	1695314	3	Baltimore County, Maryland, United States	US	USMD		39.4668	-76.6497	1695314	20260327120000	https://www.capitalgazette.com/2026/03/27/former-state-sen-paula-hollinger-dies-at-age-85/
1296376711	20250327	202503	2025	2025.2384											USA	UNITED STATES	USA								1	017	017	01	1	0.0	6	1	6	1.37931034482758	0								3	Montgomery County, Maryland, United States	US	USMD		39.1501	-77.1997	1712500	3	Montgomery County, Maryland, United States	US	USMD		39.1501	-77.1997	1712500	20260327120000	https://www.capitalgazette.com/2026/03/27/former-state-sen-paula-hollinger-dies-at-age-85/
1296376712	20250327	202503	2025	2025.2384	GBR	LONDON	GBR								USAGOV	THE US	USA					GOV			0	020	020	02	1	3.0	1	1	1	-7.16279069767442	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260327120000	https://www.dailystar.co.uk/news/latest-news/trumps-sons-999-call-after-36932742
1296376713	20250327	202503	2025	2025.2384	GBR	LONDON	GBR								USAGOV	THE US	USA					GOV			0	020	020	02	1	3.0	1	1	1	-7.16279069767442	1	Russia	RS	RS		60	100	RS	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260327120000	https://www.dailystar.co.uk/news/latest-news/trumps-sons-999-call-after-36932742
1296376714	20250327	202503	2025	2025.2384	GOVMIL	DEFENSE MINIST						GOV	MIL												1	020	020	02	1	3.0	10	1	10	-0.81799591002045	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20260327120000	https://www.upi.com/Top_News/World-News/2026/03/27/belgium-NATO-spending/5481774600030/
1296376715	20250327	202503	2025	2025.2384	GOVMIL	DEFENSE MINIST						GOV	MIL												1	030	030	03	1	4.0	10	1	10	-0.81799591002045	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20260327120000	https://www.upi.com/Top_News/World-News/2026/03/27/belgium-NATO-spending/5481774600030/
1296376716	20260320	202603	2026	2026.2192	AUS	MURRAY	AUS								USA	UNITED STATES	USA								1	043	043	04	1	2.8	4	1	4	-2.76595744680852	3	Bowling Green, Kentucky, United States	US	USKY	KY227	36.9903	-86.4436	487744	3	Bowling Green, Kentucky, United States	US	USKY		36.9903	-86.4436	487744	3	Bowling Green, Kentucky, United States	US	USKY		36.9903	-86.4436	487744	20260327120000	https://www.murrayledger.com/news/local/csam-case-heads-to-circuit-court/article_cde5047d-134e-4524-a586-62b02692ff0a.html
1296376717	20260320	202603	2026	2026.2192	BMU	BERMUDA	BMU								MED	GAZETTE						MED			1	010	010	01	1	0.0	2	1	2	-0.87912087912088	1	Bermuda	BD	BD		32.333333	-64.75	BD	1	Bermuda	BD	BD		32.333333	-64.75	BD	1	Bermuda	BD	BD		32.333333	-64.75	BD	20260327120000	https://www.royalgazette.com/crime/news/article/20260327/right-people-needed-for-treatment-of-offenders-board/
1296376718	20260320	202603	2026	2026.2192	GOV	GOVERNOR						GOV													1	110	110	11	3	-2.0	6	1	6	0	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20260327120000	https://www.capitalgazette.com/2026/03/27/as-state-weighs-gas-powered-data-centers-some-call-for-clean-energy-requirements/
1296376719	20260320	202603	2026	2026.2192	IRN	IRAN	IRN								BUS	BANK						BUS			1	051	051	05	1	3.4	5	1	5	-1.45102781136639	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20260327120000	https://www.moneycontrol.com/news/business/markets/technical-view-bear-attack-on-nifty-50-signals-major-risk-to-22-450-support-next-week-51-300-crucial-for-bank-nifty-as-iran-crisis-lifts-india-vix-near-27-13872599.html
