1294575361	20160319	201603	2016	2016.2164	USA	UNITED STATES	USA																		1	0874	087	08	2	10.0	8	1	8	-2.70270270270271	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	0								4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20260317000000	http://www.haitisun.com/news/278925987/trump-power-politics-and-russias-new-reality-with-washington
1294575362	20160319	201603	2016	2016.2164	USA	UNITED STATES	USA																		1	0874	087	08	2	10.0	2	1	2	-2.70270270270271	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20260317000000	http://www.haitisun.com/news/278925987/trump-power-politics-and-russias-new-reality-with-washington
1294575363	20250317	202503	2025	2025.2110											USA	UNITED STATES	USA								0	042	042	04	1	1.9	2	1	2	1.47058823529412	0								3	Kennedy Center, Ohio, United States	US	USOH		41.3112	-81.1429	1954293	3	Kennedy Center, Ohio, United States	US	USOH		41.3112	-81.1429	1954293	20260317000000	https://wach.com/news/nation-world/kennedy-center-closure-matt-floca-ceo-richard-grenell-donald-trump-kennedy-center-washington-dc-arts-performing-arts-venue-kennedy-center-repairs-arts-leadership-change
1294575364	20250317	202503	2025	2025.2110											USA	UNITED STATES	USA								0	042	042	04	1	1.9	2	1	2	1.47058823529412	0								3	Kennedy Center, Ohio, United States	US	USOH		41.3112	-81.1429	1954293	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20260317000000	https://wach.com/news/nation-world/kennedy-center-closure-matt-floca-ceo-richard-grenell-donald-trump-kennedy-center-washington-dc-arts-performing-arts-venue-kennedy-center-repairs-arts-leadership-change
1294575365	20250317	202503	2025	2025.2110	BUS	COMPANY						BUS													0	010	010	01	1	0.0	2	1	2	1.44927536231884	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	0								4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	20260317000000	https://www.freepressjournal.in/mumbai/mumbai-infra-news-bmc-pushes-gargai-dam-project-to-boost-water-supply-amid-cost-concerns
1294575366	20250317	202503	2025	2025.2110	EUR	EUROPEAN	EUR																		1	030	030	03	1	4.0	20	2	20	-4.72061657032756	3	Baylor College Of Medicine, Texas, United States	US	USTX	TX201	29.71	-95.3957	1330163	0								3	Baylor College Of Medicine, Texas, United States	US	USTX		29.71	-95.3957	1330163	20260317000000	https://news.wjct.org/national-news/2026-03-16/a-new-drug-could-be-the-beginning-of-the-end-for-sleeping-sickness
1294575367	20250317	202503	2025	2025.2110	GBR	UNITED KINGDOM	GBR								MOS	ISLAMIC				MOS					0	020	020	02	1	3.0	2	1	2	-4.56730769230769	4	Heaton Park, Manchester, United Kingdom	UK	UKI2	40118	53.5333	-2.26667	-2598411	4	Heaton Park, Manchester, United Kingdom	UK	UKI2	40118	53.5333	-2.26667	-2598411	4	Heaton Park, Manchester, United Kingdom	UK	UKI2	40118	53.5333	-2.26667	-2598411	20260317000000	https://www.thejc.com/news/politics/badenoch-starmers-iran-stance-is-appeasement-of-sectarian-vote-nrned82h
1294575368	20250317	202503	2025	2025.2110	IND	SURAT	IND																		1	173	173	17	4	-5.0	2	1	2	-10.126582278481	4	Amroli, Gujarat, India	IN	IN09	17649	21.3	72.85	-2088797	0								4	Amroli, Gujarat, India	IN	IN09	17649	21.3	72.85	-2088797	20260317000000	https://timesofindia.indiatimes.com/city/surat/46-year-old-man-to-die-in-jail-for-raping-12-year-old/articleshow/129617032.cms
1294575369	20250317	202503	2025	2025.2110	IND	SURAT	IND																		1	173	173	17	4	-5.0	2	1	2	-10.126582278481	4	Amroli, Gujarat, India	IN	IN09	17649	21.3	72.85	-2088797	0								4	Surat, Gujarat, India	IN	IN09	70127	20.9667	72.9	-2098110	20260317000000	https://timesofindia.indiatimes.com/city/surat/46-year-old-man-to-die-in-jail-for-raping-12-year-old/articleshow/129617032.cms
1294575370	20250317	202503	2025	2025.2110	IND	HINDUSTAN	IND								BUS	COMPANY						BUS			0	010	010	01	1	0.0	1	1	1	1.44927536231884	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	20260317000000	https://www.freepressjournal.in/mumbai/mumbai-infra-news-bmc-pushes-gargai-dam-project-to-boost-water-supply-amid-cost-concerns
