1294273610	20250315	202503	2025	2025.2055											JUD	LAWYER						JUD			1	042	042	04	1	1.9	5	1	5	0.81967213114755	0								1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20260315000000	https://www.scmp.com/opinion/asia-opinion/article/3346175/how-war-iran-struck-shores-sri-lanka
1294273611	20250315	202503	2025	2025.2055	IGOUNO	UNITED NATIONS		UNO				IGO			HND	HONDURAN	HND								0	020	020	02	1	3.0	8	2	8	-7.7318754042892	1	Honduras	HO	HO		15	-86.5	HO	1	Honduras	HO	HO		15	-86.5	HO	1	Honduras	HO	HO		15	-86.5	HO	20260315000000	https://www.aljazeera.com/news/2026/3/14/trinidad-and-tobago-extends-state-of-emergency-for-another-three-months
1294273612	20250315	202503	2025	2025.2055	IGOUNO	UNITED NATIONS		UNO				IGO			HNDGOV	HONDURAN	HND					GOV			0	020	020	02	1	3.0	12	2	12	-7.7318754042892	1	Honduras	HO	HO		15	-86.5	HO	1	Honduras	HO	HO		15	-86.5	HO	1	Honduras	HO	HO		15	-86.5	HO	20260315000000	https://www.aljazeera.com/news/2026/3/14/trinidad-and-tobago-extends-state-of-emergency-for-another-three-months
1294273613	20250315	202503	2025	2025.2055	JUD	SUPREME COURT						JUD			PHL	PHILIPPINE	PHL								0	114	114	11	3	-2.0	5	1	5	-6.08108108108108	4	Bicol, Camarines Sur, Philippines	RP	RP16	24242	13.3594	123.337	10747321	4	Bicol, Camarines Sur, Philippines	RP	RP16	24242	13.3594	123.337	10747321	4	Bicol, Camarines Sur, Philippines	RP	RP16	24242	13.3594	123.337	10747321	20260315000000	https://tribune.net.ph/2026/03/14/sara-duterte-questions-limits-on-choice-of-lawyers-in-impeachment-case
1294273614	20260213	202602	2026	2026.1178	CAN	CANADA	CAN																		1	013	013	01	1	0.4	4	2	4	3.91752577319587	4	Bluesky, Alberta, Canada	CA	CA01	154724	56.0667	-118.25	-561397	0								4	Bluesky, Alberta, Canada	CA	CA01	154724	56.0667	-118.25	-561397	20260315000000	https://www.cochranetimespost.ca:443/news/federal-government-helping-to-increase-sudburys-housing-supply-mp
1294273615	20260213	202602	2026	2026.1178	VEN	VENEZUELA	VEN								VENGOV	VENEZUELA	VEN					GOV			1	020	020	02	1	3.0	2	1	2	-7.8590785907859	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20260315000000	https://www.nbcconnecticut.com/news/politics/president-trump/trump-administration-opposes-maduro-request-dismiss-drug-trafficking-case/3713911/
1294273616	20260213	202602	2026	2026.1178	VEN	VENEZUELA	VEN								VENGOV	VENEZUELA	VEN					GOV			1	071	071	07	2	7.4	2	1	2	-7.8590785907859	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20260315000000	https://www.nbcconnecticut.com/news/politics/president-trump/trump-administration-opposes-maduro-request-dismiss-drug-trafficking-case/3713911/
1294273617	20260213	202602	2026	2026.1178	VEN	VENEZUELA	VEN								VENGOV	VENEZUELA	VEN					GOV			1	110	110	11	3	-2.0	2	1	2	-7.8590785907859	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20260315000000	https://www.nbcconnecticut.com/news/politics/president-trump/trump-administration-opposes-maduro-request-dismiss-drug-trafficking-case/3713911/
1294273618	20260315	202603	2026	2026.2055											ABW	ARUBA	ABW								0	042	042	04	1	1.9	2	1	2	-1.40969162995595	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20260315000000	https://www.mynbc5.com/article/jetblue-flight-bomb-threat-vero-beach/70742334
1294273619	20260315	202603	2026	2026.2055											ABW	ARUBA	ABW								0	042	042	04	1	1.9	4	1	4	-1.40969162995595	0								1	Aruba	AA	AA		12.5	-69.966667	AA	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20260315000000	https://www.mynbc5.com/article/jetblue-flight-bomb-threat-vero-beach/70742334
