1293422950	20250310	202503	2025	2025.1918	HTI	HAITI	HTI								HTICOP	HAITI	HTI					COP			1	051	051	05	1	3.4	2	1	2	-5.6644880174292	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	20260310120000	https://www.yahoo.com/news/articles/hundreds-killed-haiti-drone-strikes-102738554.html
1293422951	20250310	202503	2025	2025.1918	PAK	PAKISTAN	PAK																		1	1821	182	18	4	-9.0	10	1	10	-3.46820809248555	4	Malakand, North-West Frontier, Pakistan	PK	PK03	23647	34.5656	71.9304	-2768117	0								4	Malakand, North-West Frontier, Pakistan	PK	PK03	23647	34.5656	71.9304	-2768117	20260310120000	https://ianslive.in/pakistan-258-rape-cases-reported-in-khyber-pakhtunkhwa-last-year-with-only-one-conviction--20260310151734
1293422952	20250310	202503	2025	2025.1918	RUS	RUSSIAN	RUS								UKR	UKRAINE	UKR								1	110	110	11	3	-2.0	6	1	6	-4.61329715061058	1	Russia	RS	RS		60	100	RS	4	Shahed, Fars, Iran	IR	IR07	25307	28.5934	52.2295	-3083999	4	Shahed, Fars, Iran	IR	IR07	25307	28.5934	52.2295	-3083999	20260310120000	http://www.strategypage.com/htmw/htada/articles/2026031044959.aspx
1293422953	20250310	202503	2025	2025.1918	RUS	RUSSIA	RUS								UKR	UKRAINE	UKR								1	110	110	11	3	-2.0	2	1	2	-4.61329715061058	1	Russia	RS	RS		60	100	RS	4	Shahed, Fars, Iran	IR	IR07	25307	28.5934	52.2295	-3083999	1	Russia	RS	RS		60	100	RS	20260310120000	http://www.strategypage.com/htmw/htada/articles/2026031044959.aspx
1293422954	20250310	202503	2025	2025.1918	USA	UNITED STATES	USA								HTICOP	HAITIAN	HTI					COP			1	051	051	05	1	3.4	5	1	5	-5.6644880174292	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	20260310120000	https://www.yahoo.com/news/articles/hundreds-killed-haiti-drone-strikes-102738554.html
1293422955	20260208	202602	2026	2026.1041	GOV	KING						GOV			USA	UNITED STATES	USA								0	042	042	04	1	1.9	2	1	2	-3.74414976599064	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20260310120000	https://www.dailymail.co.uk/news/article-15631765/Trump-Starmer-legal-Iran-call-PM-King-state-visit.html
1293422956	20260208	202602	2026	2026.1041	JPN	TOKYO	JPN																		1	120	120	12	3	-4.0	7	1	7	-1.81818181818182	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20260310120000	https://www.dailymail.co.uk/news/article-15631471/Punch-monkey-accepted-peers-abandonedstuffed-toy.html
1293422957	20260208	202602	2026	2026.1041	USA	UNITED STATES	USA								GOV	KING						GOV			0	043	043	04	1	2.8	2	1	2	-3.74414976599064	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20260310120000	https://www.dailymail.co.uk/news/article-15631765/Trump-Starmer-legal-Iran-call-PM-King-state-visit.html
1293422958	20260303	202603	2026	2026.1726											GBR	UNITED KINGDOM	GBR								0	013	013	01	1	0.4	16	4	16	-2.5974025974026	0								4	Kincardine, Fife, United Kingdom	UK	UKV1	40176	56.0667	-3.71667	-2600103	4	Kincardine, Fife, United Kingdom	UK	UKV1	40176	56.0667	-3.71667	-2600103	20260310120000	https://www.southwalesargus.co.uk/news/national/25923325.assisted-dying-bill-heavily-safeguarded-law-kind-says-msp/
1293422959	20260303	202603	2026	2026.1726											GBR	UNITED KINGDOM	GBR								0	030	030	03	1	4.0	16	4	16	-2.5974025974026	0								4	Kincardine, Fife, United Kingdom	UK	UKV1	40176	56.0667	-3.71667	-2600103	4	Kincardine, Fife, United Kingdom	UK	UKV1	40176	56.0667	-3.71667	-2600103	20260310120000	https://www.southwalesargus.co.uk/news/national/25923325.assisted-dying-bill-heavily-safeguarded-law-kind-says-msp/
